model,MAE,RMSE,MAPE (%),Dir. Accuracy (%),Sharpe Ratio
ARIMA,3.1541064305578805,4.3341556995517045,1.1906838428049722,23.972602739726025,1.8827924608981377
LightGBM,9.96371509320502,13.131888901108587,3.6609995919427534,23.28767123287671,-1.1252106782647002
LSTM,41.96972372646988,43.26031615819552,15.801803030208497,22.413793103448278,-1.8519652598552847
