id,ticker_id,date_id,open,high,low,close,volume,vwap,daily_return_pct,sma_7,sma_30,ema_12,ema_26,macd,macd_signal,macd_histogram,rsi_14,bb_upper,bb_middle,bb_lower,volatility_7d,volume_zscore,is_outlier,target_next_close,ingested_at
5,1,20240515,186.4679,189.1868,185.932,188.264,70400000,,0,185.6939,,185.2068,184.138,1.0688,0.4591,0.6097,90.2408,,,,0.007225,,f,188.383,2026-05-11 03:09:19.738139
6,1,20240516,189.0082,189.6334,188.2044,188.383,52845200,,0,187.1611,,186.1089,184.7436,1.3653,0.7658,0.5995,90.5154,,,,0.004763,,f,188.4128,2026-05-11 03:09:19.738139
7,1,20240517,188.0556,189.3456,187.7281,188.4128,41282900,,0,188.0159,,186.7633,185.267,1.4963,1.021,0.4753,90.6035,,,,0.004574,,f,189.5738,2026-05-11 03:09:19.738139
8,1,20240520,187.877,190.4471,187.5594,189.5738,44361300,,0,188.7147,,187.5615,185.8814,1.6801,1.247,0.4331,93.66,,,,0.002291,,f,190.8738,2026-05-11 03:09:19.738139
9,1,20240521,189.6234,191.2509,189.4547,190.8738,42309400,,0,189.4434,,188.5023,186.5937,1.9086,1.471,0.4376,95.7304,,,,0.003168,,f,189.4349,2026-05-11 03:09:19.738139
10,1,20240522,190.7944,191.3402,188.8097,189.4349,34648500,,0,189.7397,,188.7672,186.999,1.7682,1.5897,0.1785,64.6293,192.9853,187.0335,181.0817,0.004788,-1.3926,f,185.4458,2026-05-11 03:09:19.738139
11,1,20240523,189.5143,189.5341,185.1977,185.4458,51005900,,0,188.7261,,187.8238,186.7774,1.0464,1.4463,-0.3999,29.3886,192.6762,187.2875,181.8988,0.008942,-0.017,f,188.522,2026-05-11 03:09:19.738139
12,1,20240524,187.3709,189.1174,186.5968,188.522,36327000,,0,188.2399,,188.0221,187.0263,0.9958,1.2887,-0.2929,54.7312,191.7547,187.9752,184.1957,0.011216,-1.0671,f,188.5319,2026-05-11 03:09:19.738139
13,1,20240528,190.0402,191.5188,187.6487,188.5319,52280100,,0,187.7763,,188.1669,187.2411,0.9258,1.164,-0.2382,54.8007,191.4631,188.3433,185.2235,0.010923,0.4433,f,188.8296,2026-05-11 03:09:19.738139
14,1,20240529,188.1548,190.7746,188.0556,188.8296,53068000,,0,188.1733,,188.3551,187.4677,0.8874,1.068,-0.1806,57.4182,191.3038,188.6272,185.9506,0.006195,0.5126,f,189.8219,2026-05-11 03:09:19.738139
15,1,20240530,189.296,190.7051,189.167,189.8219,49889100,,0,188.9841,187.4324,188.7717,187.8036,0.9681,1.0274,-0.0593,66.124,191.5411,188.7829,186.0247,0.001972,0.6026,f,190.7745,2026-05-11 03:09:19.738139
16,1,20240531,189.9708,191.0921,188.4525,190.7746,75158300,,0.0001,189.6263,187.957,189.3406,188.2274,1.1132,1.0491,0.0641,73.1427,192.017,189.0221,186.0272,0.002423,2.4141,f,192.5409,2026-05-11 03:09:19.738139
17,1,20240603,191.4195,193.4935,191.0425,192.5409,50080500,,0,190.7292,188.6834,190.2495,188.8428,1.4067,1.1585,0.2482,82.2303,193.0831,189.4349,185.7867,0.003742,0.1061,f,192.8584,2026-05-11 03:09:19.738139
18,1,20240604,193.1462,193.821,191.5486,192.8584,47471400,,0,191.7385,189.2173,190.9905,189.4156,1.5749,1.2982,0.2767,83.5614,193.9802,189.7634,185.5466,0.003591,-0.1606,f,194.3668,2026-05-11 03:09:19.738139
